EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;26021;;DIRECCIÓN GENERAL PARA LA IGUALDAD DE OPORTUNIDADES
2014;26022;;DELEGACIÓN DEL GOBIERNO PARA LA VIOLENCIA DE GÉNERO
2014;26102;;INSTITUTO NACIONAL DEL CONSUMO
2014;26104;;AGENCIA ESPAÑOLA DE SEGURIDAD ALIMENTARIA Y NUTRICIÓN
2014;26105;;ORGANIZACIÓN NACIONAL DE TRASPLANTES
2014;26106;;REAL PATRONATO SOBRE DISCAPACIDAD
2014;26107;;INSTITUTO DE LA MUJER
2014;26108;;CONSEJO DE LA JUVENTUD DE ESPAÑA
2014;26201;;INSTITUTO DE LA JUVENTUD
2014;26401;;AGENCIA ESPAÑOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS
2014;27;;MINISTERIO DE ECONOMÍA Y COMPETITIVIDAD
2014;27001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
2014;27002;;SECRETARÍA GENERAL TÉCNICA
2014;27003;;SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA
2014;27004;;SECRETARÍA GENERAL DEL TESORO Y POLÍTICA FINANCIERA
2014;27005;;DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA
2014;27006;;DIRECCIÓN GENERAL DE ANÁLISIS MACROECONÓMICO Y ECONOMÍA INTERNACIONAL
2014;27007;;DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES
2014;27008;;SECRETARÍA DE ESTADO DE COMERCIO
2014;27009;;DIRECCIÓN GENERAL DE COMERCIO E INVERSIONES
2014;27010;;DIRECCIÓN GENERAL DE COMERCIO INTERIOR
2014;27011;;SECRETARÍA DE ESTADO DE INVESTIGACIÓN, DESARROLLO E INNOVACIÓN
2014;27012;;SECRETARÍA GENERAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN
2014;27013;;DIRECCIÓN GENERAL DE INVESTIGACIÓN CIENTÍFICA Y TÉCNICA
2014;27014;;DIRECCIÓN GENERAL DE INNOVACIÓN Y COMPETITIVIDAD
2014;27101;;INSTITUTO NACIONAL DE ESTADÍSTICA
2014;27102;;INSTITUTO DE CONTABILIDAD Y AUDITORÍA DE CUENTAS
2014;27201;;CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS
2014;27202;;INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA Y ALIMENTARIA
2014;27203;;INSTITUTO ESPAÑOL DE OCEANOGRAFÍA
2014;27204;;INSTITUTO GEOLÓGICO Y MINERO DE ESPAÑA
2014;27205;;INSTITUTO DE SALUD CARLOS III
2014;27302;;COMISIÓN NACIONAL DE LOS MERCADOS Y LA COMPETENCIA
2014;27401;;CONSEJO SUPERIOR DE INVESTIGACIONES CIENTÍFICAS
2014;31;;GASTOS DE DIVERSOS MINISTERIOS
2014;31002;;D.G. PRESUPUESTOS. GASTOS DE LOS DEPARTAMENTOS MINISTERIALES
2014;31003;;DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO
2014;31004;;SUBSECRETARÍA DE HACIENDA
2014;32;;OTRAS RELACIONES FINANCIERAS CON ENTES TERRITORIALES
2014;32001;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. COMUNIDADES AUTÓNOMAS
2014;32002;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES
2014;33;;FONDOS DE COMPENSACIÓN INTERTERRITORIAL
2014;33003;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. GALICIA
2014;33004;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA
2014;33005;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS
2014;33006;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CANTABRIA
2014;33008;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. REGIÓN DE MURCIA
2014;33009;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. COMUNIDAD VALENCIANA
2014;33011;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA
2014;33012;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CANARIAS
2014;33014;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA
2014;33017;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN
2014;33018;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. MELILLA
2014;33019;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CEUTA
2014;33020;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. VARIAS CC.AA
2014;34;;RELACIONES FINANCIERAS CON LA UNIÓN EUROPEA
2014;34001;;D. G. FONDOS COMUNITARIOS. RELACIONES FINANCIERAS CON LA U. E.
2014;35;;FONDO DE CONTINGENCIA
2014;35001;;DIRECCIÓN GENERAL DE PRESUPUESTOS. FONDO DE CONTINGENCIA
2014;36;;SISTEMAS DE FINANCIACIÓN DE ENTES TERRITORIALES
2014;36002;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CATALUÑA
2014;36003;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. GALICIA
2014;36004;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. ANDALUCÍA
2014;36005;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. PRINCIPADO DE ASTURIAS
2014;36006;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CANTABRIA
2014;36007;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. LA RIOJA
2014;36010;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. ARAGÓN
2014;36011;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CASTILLA-LA MANCHA
2014;36012;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CANARIAS
2014;36014;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. EXTREMADURA
2014;36017;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CASTILLA Y LEÓN
2014;36018;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. MELILLA
2014;36019;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. CEUTA
2014;36020;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. VARIAS CC. AA.
2014;36021;;SECRETARÍA GENERAL DE COORDINACIÓN AUTONÓMICA Y LOCAL. ENTIDADES LOCALES
2014;60;;SEGURIDAD SOCIAL
2014;60001;;PENSIONES Y PRESTACIONES ECONÓMICAS DE LA SEGURIDAD SOCIAL
2014;60002;;PREST.  ASISTENCIALES, SANITARIAS Y SOCIALES DEL INGESA Y DEL INSERSO
2014;60003;;DIRECCIÓN Y SERV. GENERALES DE SEGURIDAD SOCIAL Y PROTECCIÓN SOCIAL
2014;60004;;INGRESOS DE LA SEGURIDAD SOCIAL
2014;98;;INGRESOS DEL ESTADO
2014;98001;;INGRESOS DEL ESTADO
