EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;ITEM;IMPORTE
2013;98001;339;;;Venta de otros bienes;10000000
2013;98001;38;;;Reintegros de operaciones corrientes;370000000
2013;98001;380;;;De ejercicios cerrados;310000000
2013;98001;381;;;Del presupuesto corriente;60000000
2013;98001;39;;;Otros ingresos;2563300000
2013;98001;391;;;Recargos y multas;1220000000
2013;98001;391;;00;Recargo del periodo ejecutivo;601000000
2013;98001;391;;01;Intereses de demora;465000000
2013;98001;391;;02;Multas y sanciones;154000000
2013;98001;392;;;Diferencias de cambio;159300000
2013;98001;393;;;Diferencias entre los valores de reembolso y emisión;807000000
2013;98001;399;;;Ingresos diversos;377000000
2013;98001;399;;00;Compensaciones de servicios prestados por funcionarios públicos;12000000
2013;98001;399;;01;Recursos eventuales;300000000
2013;98001;399;;99;Otros ingresos diversos;65000000
2013;98001;4;;;TRANSFERENCIAS CORRIENTES;9211466110
2013;98001;41;;;De organismos autónomos;223471090
2013;98001;410;;;Transferencias corrientes de organismos autónomos;223471090
2013;98001;410;;01;Jefatura de Tráfico;135791370
2013;98001;410;;02;Servicio Público de Empleo Estatal;66436150
2013;98001;410;;99;Otros;21243570
2013;98001;42;;;De la Seguridad Social;153017670
2013;98001;420;;;Transferencias corrientes de la Seguridad Social;153017670
2013;98001;43;;;De agencias estatales y otros organismos públicos;30366000
2013;98001;430;;;De agencias estatales;30366000
2013;98001;430;;01;Agencia Estatal del B.O.E.;30366000
2013;98001;44;;;De sdades, ent.públ.emp, fundac. y resto entes Sec.Públ.;30623120
2013;98001;441;;;De entidades públicas empresariales;30623120
2013;98001;441;;09;De otras entidades públicas empresariales;30623120
2013;98001;45;;;De Comunidades Autónomas;7623008230
2013;98001;450;;;Contribuciones Concertadas;1471868610
2013;98001;450;;00;Cupo del País Vasco;920789370
2013;98001;450;;01;De Navarra;551079240
2013;98001;451;;;Compensación de pagos Impuesto de Patrimonio;23860000
2013;98001;453;;;Compensación a satisfacer por la Comunidad Autónoma de Canarias por la supresión del I.G.T.E.;191645750
2013;98001;456;;;Compensaciones financieras del País Vasco;39063870
2013;98001;456;;00;Impuestos especiales sobre el alcohol y bebidas derivadas y productos intermedios;6982230
2013;98001;456;;01;Impuesto especial sobre la Cerveza;2474870
2013;98001;456;;02;Impuesto especial sobre Hidrocarburos;29606770
2013;98001;458;;;Por Fondo de Suficiencia;5896570000
2013;98001;46;;;De Entidades Locales;1055980000
2013;98001;460;;;De Ayuntamientos;1055980000
2013;98001;49;;;Del exterior;95000000
2013;98001;490;;;Del Fondo Social Europeo;80000000
2013;98001;492;;;Otras transferencias de la Unión Europea;5000000
2013;98001;499;;;Otras transferencias corrientes;10000000
2013;98001;5;;;INGRESOS PATRIMONIALES;5912574970
2013;98001;51;;;Intereses de anticipos y préstamos concedidos;1180000000
2013;98001;515;;;A Comunidades Autónomas;1080000000
2013;98001;519;;;Al exterior;100000000
2013;98001;52;;;Intereses de depósitos;299938000
2013;98001;520;;;Intereses de cuentas bancarias;299938000
2013;98001;520;;00;Intereses de las consignaciones judiciales;99000000
2013;98001;520;;09;Intereses de la cuenta del Tesoro en el Banco de España;200000000
2013;98001;520;;99;Otros intereses de cuentas bancarias;938000
2013;98001;53;;;Dividendos y participaciones en beneficios;4125520970
2013;98001;534;;;De sociedades, entes públicos empresariales, fundaciones y resto de entes del sector público;4125520970
2013;98001;534;;03;Banco de España;2318000000
2013;98001;534;;05;Loterías y Apuestas del Estado;1790043000
2013;98001;534;;06;Real Casa de la Moneda. Fabrica Nacional de Moneda y Timbre;15392000
2013;98001;534;;99;Otras participaciones en beneficios;2085970
2013;98001;54;;;Rentas de bienes inmuebles;6000000
2013;98001;540;;;Alquiler y productos de inmuebles;6000000
2013;98001;540;;99;Otros productos de inmuebles;6000000
2013;98001;55;;;Productos de concesiones y aprovechamientos especiales;301116000
2013;98001;550;;;De concesiones administrativas;1000000
2013;98001;558;;;Canon por utilización de aguas continentales para la producción de energía eléctrica;298116000
2013;98001;559;;;Otras concesiones y aprovechamientos;2000000
2013;98001;6;;;ENAJENACION DE INVERSIONES REALES;134550000
2013;98001;60;;;De terrenos;6000000
2013;98001;600;;;Venta de solares;4100000
2013;98001;601;;;Venta de fincas rústicas;1900000
2013;98001;61;;;De las demás inversiones reales;550000
2013;98001;619;;;Venta de otras inversiones reales;550000
2013;98001;68;;;Reintegros por operaciones de capital;128000000
2013;98001;680;;;De ejercicios cerrados;120000000
2013;98001;681;;;Del presupuesto corriente;8000000
